c5	remark
19770919038659A	
19770920026619A	LDG ON ROAD,HIT PWR LINES.
19770920030049A	RAN TANK DRY.DIDN'T SWITCH TANKS AFTR FUEL STARVATION.
19770920030819A	
19770920032529A	
19770920034219A	BLOOD ALCOHOL LVL 0.06 .
19770920040159A	
19770921026359A	
19770921028089A	10HRS FLT IN LAST 24.
19770921028099A	ACFT ENCOUNTERED DOWNDRAFTS AND TURBL TO EXTENT THAT FLIGHT COULD NOT BE MAINTAINED
19770921029029A	18FT WIDE PAVED ROAD.
19770921029039A	RECOVERY DATE 9/24/77.
19770921029049A	
19770921030539A	HIT BANK 20 FT SHORT OF RWY.NO ENGINE MALFUNCTION FOUND
19770921030829A	OVER 20 GALLONS OF FUEL FOUND IN LEFT MAIN TANK.
19770921032539A	AVOIDING DEER ON RWY.
19770921032549A	
19770921033509A	PVT PLT LANDING ACFT-UNFAMILIAR WITH ACFT
19770921034229A	NO3 EXHAUST VALVE FAILED.
19770921036369A	
19770921041039A	APPROACHING SHORE LINE ENCOUNTERED STRONG DWN DRAFTS ABORTED TAKE-OFF. FLOAT EQUIPPED.
19770922026369A	DEPARTED WITH ABT 4GAL FUEL.UN LOCATE REFUELING STOP.
19770922027699A	1500FT SOD STRIP.
19770922028109A	GENERATOR SWITCHES FOUND IN OFF POSITION.NO FLASHLIGHT ON BOARD.
19770922029059A	T/D HARD,SWERVED L THEN R.HIT TAILWHEEL ON TOP OF FENCE DRG GO-ARND.
19770922030059A	RWY UNDER CONSTRUCTION,NO NOTAM AT TIME OF ACCIDENT.
19770922030549A	ACFT FOUND DMGD OFF SIDE OF RWY.DATE OF ACDNT,INJURY INDEX PRESUMED.STOLEN ACFT.
19770922030839A	PLT RPTD X-WIND GUST,TURBC ON SHORT FINAL.
19770922032559A	LNDD IN LAKE.
19770922032569A	AIRPORT CLOSED PREVIOUS YEAR.PILOT USED OUT OF DATE MAP SHOWING ARPT OPEN.
19770922032929A	PILOT IN TRNG.SPRAYING WATER.4 HRS IN TYPE.A/C DESTROYED BY FIRE
19770922033519A	
19770922034779A	DEP INTO SPARSELY LIGHTED HILLY TERRAIN.
19770922034789A	
19770922039459A	
19770922039469A	
19770922042509A	LANDED IN CORN FIELD.
19770922042519A	
19770923029069A	LOST VISUAL REF.STALLED IN TURN-AROUND.
19770923029079A	SETTLED AFTER TKOF FM FARM FLD.DENS ALT 4200FT.
19770923029089A	
19770923030069A	PLT SAID HE FELL ASLEEP.
19770923030079A	
19770923030849A	
19770923031359A	WIND GUSTING 49K.OPER PERSONNEL NOT DISPATCHED T0 ASSIST ACFT.PLT NOT AWARE OF PROCEDURE.
19770923037799A	
19770923040169A	UN CLEAR MTN RIDGE.WX BRFG INCLUDED FCST OF 45K WINDS ALOFT AT MTN TOP LEVEL.
19770923040179A	
19770923041049A	RUDDER,HORIZONTAL STABS,ELEVATORS,OUTBOARD SECTION OF L WING SEPARATED.
19770923043299A	HIT ROCK.PLT MISSING.
19770924027709A	
19770924028119A	
19770924028129A	WING CAUGHT CANE FEED,INITIATED G/A.DECIDED TO LND AFTR CLEARING FEED.
19770924028729A	GRASS 2 FT HI. LND DUE ROUGH ENG.
19770924030089A	
19770924030099A	
19770924030559A	
19770924032939A	FUEL SYSTEM,MAGNETOS,ENGINE CONTROL LINKAGES WERE CHECKED OK.INTNTL LNDG IN TREES.
19770924034239A	CIRCLING DOWNED ACFT.LOST ALT IN STEEP TURN.
19770924034249A	PARTIAL PWR LOSS.PLT RETURNED TO ARPT.ENG QUIT ON SHORT BASE.HIT TREES 200FT SHORT OF RWY.
19770924037809A	
19770924041869A	NOSE BAGGAGE COMPARTMENT DOOR OPENED.UN MAINTAIN FLT.TKOF FRM GRAVEL RWY.
19770924042529A	
19770924042539A	
19770925028739A	TWO SCREWS P-N 539942 BECAME LOOSE AND ALLOWED THROTTLE PLATE TO MOVE AND RESTRICT AIR FLOW.
19770925029099A	DRIFTED OFF RWY.
19770925030109A	RT INB FUEL TANK QUICK DRAIN MISSING.NO FUEL STAINS NOTED.
19770925032579A	FULL FLAPS.D/A 5300FT.
19770925033529A	PORPOISED.
19770925033539A	INSTRUCTOR HAD NOT LOGGED NIGHTTIME IN OVER ONE YEAR. NIGHT LNDG ON DARK NIGHT TO UNLIT RWY.
19770925034259A	
19770925035439A	
19770925035449A	RECOVERED TOO LOW FROM INTENTIONAL SPIN.
19770925035459A	
19770925035469A	1750FT SOD STRIP,PWR LINES N END,TREES S END.
19770925035819A	PLT LANDED ON FARM ROAD AND LOST CONTROL.
19770925035829A	ACFT TAXIED ONTO RUNWAY DURING ROUND OUT PHASE OF LANDING ACFT
19770925035839A	TAXIED IN FRONT OF LANDING ACFT.
19770925036379A	ELEC CIRCUIT SHORTED OUT.
19770925036389A	
19770925040189A	
19770925040609A	GENERAL DISINTEGRATION
19770926028749A	
19770926030119A	WIND GUSTING 20K.
19770926030569A	OVERSHOT APCH.
19770926031899A	DESCENDED BELOW MDA.LNDD BWI OK.
19770926034349A	
19770926036399A	SIGNPOST.
19770926039479A	PLT CRASHED STOLEN ACFT ON HIGHWAY.PURPOSE OF FLIGHT NOT DETERMINED.BLOOD ALCOHOL LEVEL 0.21 GM
19770926041059A	ILLICIT DRUG FLIGHT,PILOT ABANDONED AIRCRAFT.
19770927027719A	WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.
19770927029109A	
19770927030129A	
19770927030139A	
19770927030149A	HAD TO FLY UNDER WIRES,HIT BUSHES.
19770927032589A	
19770927033549A	UN USE LDG LITE DUE DUST STIRRED UP BY ROTOR WASH.T/R HIT HANGAR DOOR.
19770927034799A	HYDRAULIC DOWN LOCKS REMOVED IN 1957.
19770927040199A	DENSITY ALTITUDE 11,600. SEARCHING FOR ELK
19770927041069A	TREES IN AREA OF FIRST IMPACT ARE ABT 73FT BELOW ARPT ELEVATION & 650FT BELOW MDA.
19770927042549A	SEQUIN AVIATION RUDDER STC SA671SW FAILED DURING PRACTICE ENG AIRSTART.AD ISSUED.
19770928028759A	COOLING FAN DAMAGED WHEN RETAINING NUT BACKED OFF.
19770928028769A	
19770928028779A	
19770928029119A	DEER ON RUNWAY
19770928030159A	TOUCHED DOWN IN BEAN FIELD.
19770928030169A	HIT BY TRUCK.
19770928030859A	
19770928030869A	BLOOD ALCOHOL LVL 118MG ,URINE 197MG .
19770928031369A	WND GUSTING 30K
19770928031379A	
19770928031909A	
19770928032949A	LNDD ON GRAVEL ROAD.
19770928032959A	
19770928032969A	
19770928033559A	
19770928034269A	
19770928038669A	
19770929028139A	FERRY FLT.
19770929028799A	HIT WOODEN BARRIER ON CLOSED SECTION OF RUNWAY.
19770929029129A	
19770929030179A	HIT FARM MACHINERY AT END OF RUNWAY.
19770929030189A	
19770929030879A	FULL FLAP TKOF.
19770929031919A	
19770929034279A	
19770929040209A	FLYING IN VICINITY VOLCANO ERUPTION AREA-CLOUD COVER CONSTANTLY CHANGING.TURN/BANK & WINDOWS INOP.
19770929040979A	MANIFOLD COUPLE P/N085072-39 3IN CRACK PERMITD EXH GAS INTO WING ONTO LEAKING FUEL VALVE.
19770930030199A	BOLT SHEARED CONNECTING HYD ARM TO STEERING MECH JAMMING NOSE GR IN RETRACT PSN.
19770930030529A	PLT REPORTED FUEL FRM FILLER CAP SPLASHED ON WINDSHIELD AFTR TKOF.
19770930031929A	WIND GUSTING 30K.
19770930032979A	
19770930036409A	
19770930038529A	NO NARRATIVE GIVEN
19770930038729A	NOAA WX RADIO BROADCAST.
19770930038959A	
19770930039489A	ABT 300LBS OVR MAX GWT AT TIME OF ACCIDENT.RECOVERY DATE 10/7/77.
19771001028789A	COLLECTING WATER SAMPLES LAKE PONTCHARTRAIN
19771001029139A	
19771001030209A	4 WHEEL BOLTS FAILED,WHEEL,AXLE,BRAKE ASSY SEPARATED FRM GR LEG.DIRT STRIP.
19771001030579A	
19771001030589A	
19771001030889A	
19771001030899A	AOPA MTN FLYING COURSE.CRASHED IN MTN TERRAIN 10204FT MSL.
19771001030909A	APRX 128LBS OVR MAX GWT.HIT HOUSE.
19771001031389A	
19771001031939A	
19771001032599A	AC LANDED IN MARSH.FOREIGN MATTER (FIBERGLASS)IN FUEL TANK AND LINES.
19771001032609A	
19771001032989A	PILOT PRACTICING EMERGENCY LANDINGS TO OPEN PASTURE.
19771001034289A	
19771001034809A	PHOTO MAPPING.STATE HWY DEPT.HIT WIRE ACROSS RIVER.
19771001036419A	LOW FLT THRU CANYON APPROACHING MTN PASS.UNABLE TO OUTCLIMB RISING TERRAIN.EXCEEDED GWT & AFT CG.
19771001038969A	
19771001042559A	UNABLE TO LOCATE PILOT. DAMAGE, INJURY INDEX,AND DATE PRESUMED.
19771002027739A	FLYING LOW UP YSTN RIV,DUCK UNDER PWR LINES,HIT WATER.ATMTD TO LAND ON SANDBAR,OVERSHOT.
19771002028149A	WING CAUGHT WEED AT EDGE OF RWY CAUSING PITCH-UP,STALL.
19771002029149A	
19771002029539A	
19771002029549A	5 INCHES OF PROP TIP BROKE INFLIGHT. PREVIOUS ROCK NICK.
19771002030219A	
19771002030919A	
19771002031399A	LNDD IN PASTURE.
19771002032999A	
19771002034819A	CENTRAL HUB SEPTD FM CENTRIFUGAL CLUTCH DRUM,P/N 47-620-691,MANUF UNK,WEB BELOW THICKNESS REQUIMT.
19771002036429A	MEDICAL SERVICE MISSION.PATCHY WET GRASS.INVESTIGATION UNDER JURISDICTION OF GOVT OF MEXICO.
19771002038739A	ENG DRIVEN PUMP DRIVE COUPLING FAILED. PLT TRIED TO LND ON RWY 12. ENG OVHL 1.3 HRS PRIOR.
19771002039499A	
19771002040219A	4 GALLONS FUEL ON BOARD, 3.5 GALLONS UNUSEABLE.
19771002041079A	STUDENT SQUAT LOW, PINS ACTIVATED. LEG HIT STAB.MISC-PREMATURE CHUTE OPENING
19771002043151A	JOINING FLT AS SLOT ACFT FOR DIAMOND FORMATION INTO A MODIFIED FLEUR-DE-LIS.UNDERRAN LEAD ACFT.
19771002043152A	LEAD AIRCRAFT IN A DIAMOND FORMATION.
19771003029159A	
19771003030929A	
19771003030939A	
19771003031949A	DARK NIGHT.3 R/W LIGHTS(PORTABLE) ON EACH SIDE.30' HI POWERLINES AT DEPARTURE END.
19771003031959A	25-30GAL WATER HAD ACCUMULATED IN BOTTOM OF UNDERGROUND FUEL STORAGE TANK.
19771003033009A	
19771003042569A	
19771004027729A	
19771004029169A	
19771004030229A	
19771004030949A	LND ON ROAD,TALL GRASS CAUGHT WG.
19771004032619A	
19771004032629A	
19771004033019A	SEARCHING FOR STRAY HORSES.
19771004038949A	RECOVERY DATE 10/08/77.
19771005028159A	TIRE WAS FLAT OR WENT FLAT DURING LANDING.
19771005029559A	NO CAUSE FOR ABORT.
19771005030959A	HIT WIRES AT EST 28-50FT ABOVE SNAKE RIVER.
19771005031969A	PIC,NON CFI,PULLED ENG AT VR.CO-PLT WITH NO LEAR DUAL INSTRUCTION MADE TKOF.ACFT VEERED,CRASHED.
19771005032639A	
19771005033569A	MATERIAL FAILURE OF NOSE GEAR
19771005034299A	
19771005034309A	
19771005034829A	MISTOOK FLD FOR AIRPORT.
19771005035849A	RUDDER CABLES IMPROPERLY RIGGED.FLT TEST AFTER ANNUAL INSP.WIND ROWS OF DIRT NEXT TO RWY.
19771005035859A	TRUCK TRAILER PARKED NR HELIPAD DRG RUN-UP.AFTER L/O DRIFTED INTO TRAILER.
19771005036439A	PLT MAKING XCURRENT SHORT FLD LDG IN RIVER.
19771005036449A	
19771005037819A	ENG PWR LEVER FOUND AFT THE PROP REVERSE POSITION WITH FINGER LIFT RAISED ABOVE BETA DETENT.
19771005043569A	AIRCRAFT DAMAGE AND INJURY INDEX PRESUMED.
19771006029569A	IP CUT MIXT CTL,UN RESTART ENG.LNDD IN DESERT.
19771006030239A	DEER RAN ONTO RWY.
19771006034311A	NO NARRATIVE AVAILABLE.
19771006034312A	
19771006034839A	STUDENT'S LEG BLOCKED CONTROLS
19771006036459A	ACFT STRUCK RAILROAD TIES DURING LNDG IN CONSTRUCTION YARD.
19771006041089A	
19771007029579A	
19771007029589A	FAST TAXI TEST,WND GUSTING 10K.BECAME AIRBORNE INADVERTENTLY
19771007030599A	ATTEMPTED LANDING ON HIGHWAY.HIT POWERLINE.
19771007030969A	
19771007031439A	DENSITY ALTITUDE 9000 FT.
19771007033029A	GUSTING TO 52 KNOTS.
19771007033579A	
19771007034849A	MARIJUANA ABOARD.
19771007035869A	
19771007035879A	LO PASS OVR COYOTE,ENG QUIT WITH APPLICATION OF FULL PWR.SWERVED INTO IRRIGATION DITCH.
19771007036469A	OIL PRESS INDICATOR LINE FAILED AT ENG ATTACH END.
19771008030249A	
19771008030259A	APRX 1598LBS OVR MAX GWT IAW CAM 8.
19771008030609A	WND GUSTING 30K
19771008030979A	
19771008030989A	WIND GUSTING 25K
19771008031979A	OIL PUMP DRIVE IMPELLER ASSEMBLY P/N LW 15068 CRACKED & EXPANDED CAUSING ADJ TEETH TO FAIL.
19771008033039A	PLT BRIEFED FOR IFR WX ENROUTE.CRASHED IN MOUNTAINOUS TERRAIN 3700FT MSL.
19771008033589A	THROTTLE VIBRATED PARTIALLY CLOSED WHILE PLT ATTEMPTED TO RETRACT FLAPS.
19771008034329A	
19771008034859A	
19771008036479A	HIT BARBED WIRE FENCES.
19771008037349A	PROP SLOW TO FEATHER,NO AIRCHARGE.PLT UNABLE TO MAINTAIN DIR CONTROL.
19771008041099A	CAUSE OF OBSTRUCTION NOT DETERMINED.LNDD SHORT.
19771009030269A	SHORT FLD TKOF DEMO.
19771009031409A	RWY LIGHTS INOP.
19771009031449A	HYDRAULIC RESERVOIR DEPLETED.
19771009031989A	
19771009032649A	
19771009033049A	FRACTURED AT HUB,BLADES CAME LOOSE.
19771009034869A	TKOF ROAD RAN APPROX 1000FT BFR REACHING POLES AT INTERSECTION THEN WAS CLEAR FOR OVER 3000FT.
19771009036489A	
19771009039509A	
19771009043439A	LOWERED 20 DEG FLAPS AT LIFT-OFF.
19771010030999A	1ST SOLO.
19771010031459A	
19771010031469A	LOST DIRECTIONAL CONTROL DRG LDG.WIND GUSTING 20.
19771010033059A	
19771010033069A	
19771010039519A	PLT FLYING LOW BECAUSE OF DETERIORATING WEATHER
19771010041879A	SEARCH FOR MISSING BOAT. RECORDS INDICATE ONE NIGHT FLT DURING LAST SIX MONTHS.
19771011031479A	PWR LOSS AFTER SWITCHING TO BOTH TANK PSN.EVIDENCE OF ROTATION AT IMPACT.ROCKY TERRAIN.
19771011031999A	WRONG ORDER DAMPERS INSTALLED DRG OVERHAUL.#6 CONROD FAILED.
19771011032009A	
19771011036499A	BUZZED FLD IMMEDIATELY AFT TKOF.AVOIDED PWR LINES.PLT BLOOD ALCOHOL LEVEL 0.255 .
19771012030619A	
19771012031009A	WND GUSTING 20K.
19771012032019A	LATE RCVRY FM PRACTICE AUTO. IP ALSO MISJUDGED ALT,NEW BI-FOCALS.
19771012032659A	LNDD ON RIVER LEVEE.
19771012032669A	BRAKE LININGS WORN TO RIVET HEADS.DISKS RUSTED & GLAZED.BRAKES HELD AFTR ACCIDENT.
19771012033079A	WIND GUSTING TO 35KTS.
19771012033599A	PLT NOT TYPE RATED IN L-18.
19771012033609A	LEFT LANDING GEAR COLLAPSED,BROKEN REAR WING SPAR
19771012040229A	LDG GR MICRO SW STUCK,RESULTED IN FALSE COCKPIT INDICATIONS.PRACTICE MANUAL GR EXTENSION.
19771013030279A	RAISING FLAPS.
19771013031019A	
19771013031419A	FUEL VENT PLUGGED BY MUD DAUBER NEST
19771013032029A	TAKEOFF FROM HARVESTED CORN FIELD.ABORTED WHEN AIRCRAFT STRUCK ROUGH SOFT SPOTS.
19771013032679A	
19771013032689A	FIRST FLIGHT OF AIRCRAFT.
19771013035889A	PLT DECIDED TO RETURN TO DEPT PT AFTER OBSERVING MOUNTAIN TOP OBSCURED WITH FOG.
19771013041889A	
19771013041899A	
19771013042589A	THROTTLE CABLE SHOWED SIGNS OF OVERLOAD TORSIONAL SEPARATION,ENG AUTOMATICALLY WENT TO FLT IDLE.
19771014030289A	UNASSISTED TOW TKOF.MINOR DMG TO G-164A,N5407,PARKED NEXT TO RWY.
19771014031029A	AWARE OF ACFT ON DEP END OF RWY.FLAPS NOT USED.
19771014032039A	
19771014033089A	FLOAT EQUIPPED. WIND GUSTING TO 32KTS.
19771014033619A	
19771014034339A	CRANKSHAFT OIL SEAL MISSING.LNDD ON HWY AT NITE.HIT SIGN POST.
19771014034879A	AC STRUCK ROCKS NEXT TO UNIMPROVED RUNWAY.RIGHT TIRE RUPTURED & SEPARATED.RNWY 75 FEET WIDE.
19771014035899A	BLOOD ALCOHOL CONTENT .069
19771014037359A	WIRES.
19771014043089A	PLT LOST CONTROL WHILE EXECUTING STEEP TURNS AT NEAR TREETOP LEVEL. BLOOD ALCOHOL LEVEL .179 .
19771015029599A	WHEEL EQUIPPED. GUSTS TO 30KTS.
19771015030629A	WIND GUSTING 26 KTS, CALM ON TKOF.
19771015030639A	
19771015031039A	WIND GUSTING 35K.
19771015032049A	
19771015032059A	AIRCRAFT CARTWHEELED AFTER LIFT OFF.
19771015032699A	
19771015034889A	
19771015035471A	NOT RADIO-EQUIPPED.
19771015035472A	
19771015035669A	
19771015036509A	
19771015037369A	LNDD SHORT OF RWY.
19771015037821A	
19771015037822A	
19771016031049A	
19771016032069A	
19771016033099A	
19771016033629A	
19771016034349A	WIND GUSTY.
19771016034359A	
19771016034909A	
19771016035489A	
19771016035499A	HIT POWERLINE.
19771016035809A	PAX DID NOT ASSUME BRIEFED POSITION FOR LANDING.PIC DID NOT CORRECT PAX.
19771016035909A	
19771016035919A	
19771016037839A	
19771016039529A	COLLIDED WITH WIRES
19771016042599A	WIND GUSTING TO 25.
19771016043309A	
19771017032079A	
19771017032089A	WIND GUSTING 20-25K.
19771017040239A	
19771018031059A	
19771018031069A	
19771018032099A	STOLEN ACFT.INJURY INDEX PRESUMED.
19771018039539A	INVEST UNDER JURISDICTION OF GOVT OF BAHAMAS.
19771019030299A	HIT GUY WIRE FLYING UNDER PWR LINE.
19771019031079A	
19771019031089A	
19771019031099A	BRAKING ON WET GRASS WAS NIL.
19771019032109A	LNDD ON 900FT HARD SURF N-S TAXIWAY INSTEAD OF 2200FT GRASS E-W RUNWAY.
19771019033109A	COLLIDED WITH COTTON TRAILER
19771019034369A	AILERON CTL CABLES CONNECTED BACKWARDS,AILERON ACTION REVERSED.
19771019035929A	COLLIDED WITH HILL.
19771019038679A	ATIS WEATHER.
19771019038979A	DSCNDD BELOW MDA.HIT PWR LINES ABT 1MI FRM ARPT.PATCHES OF GROUND FOG IN AREA.
19771019041109A	
19771020031109A	INVALID MEDICAL CERT AND FLT REVIEW.
19771020032119A	SETTLED.
19771020032129A	PULLED PROP THRU;MIXT RICH,THROTTLE 1/2.SWITCH FAULTY.HIT PA-22 N9209D & C-172 N6854A.BOTH SUBSTL.
19771020032709A	EXHAUST VALVE FAILED AT STEM. 789-40 FAILD AT STEM
19771020033639A	NOT ENDORSED FOR SOLO FLT.
19771020033649A	FLUID LEAK PAST O RING,RT BRAKE LOWER ACTUATING CYLINDER.
19771020036519A	
19771020043659A	
19771021031119A	
19771021031489A	
19771021031499A	TEMPORARY LTS PLACED ON RNY.
19771021032139A	PLT RPTD XWIND GUSTS TO 20KNOTS.
19771021032719A	RADIO ACTIVATED RWY LITES WOULD NOT REMAIN ON.
19771021033659A	AC NOT RCVRD
19771021036529A	HIT TRUCK PARKED ADJ TO NARROW STRIP.
19771022031129A	
19771022031429A	STEP TAXIING ABOUT 50MPH.
19771022032149A	N3501,SUBSTANTIAL DMG. PLT SEAT BACK FAILED, PLT UNABLE TO REACH BRAKES.
19771022032159A	WIND GUSTING 18K.
19771022032169A	
19771022033119A	UNLIT FLD.MARIJUANA HAUL.
19771022033129A	T/D OFF RWY TO AVOID DEER ON RWY.
19771022033669A	HIT HUMP IN DESERT.
19771022033679A	PLT CLRD FOR TKOF ON 36,USED CLOSED RWY 7.STRUCK CONSTRUCTION SITE BARRIER.
19771022033689A	
19771022034379A	
19771022034389A	
19771022034919A	CLUTCH ASSEMBLY P/N4692-6FAILED
19771022034929A	STICKY MUD FLAT.
19771022035509A	NEITHER PILOT KNOWS WHICH ONE WAS AT THE CONTROLS DUE TO AMNESIA.
19771022035519A	
19771022035529A	LOOSE CONNECTION ON CIRCUIT BREAKER WIRE LEAD TO ALTERNATOR.
19771022038749A	PLT DIDNT DECLARE EMERGENCY. CRASHED IN RESIDENTIAL STREET,DMGD 75 DATSUN.
19771022039549A	CIRCLING BOATS WHICH APPEARED TO HAVE RUN AGROUND.
19771022041119A	DARK NIGHT,VFR CONDITIONS.10MILES S OF COURSE,HIT MTN PEAK.NORMALLY FLEW AIRWAYS.
19771023033699A	OIL PRESSURE LINE AND STRAIGHT NIPPLE RESTRICTOR FITTINGS FAILED.
19771023033709A	NARROW RWY.
19771023034399A	PILOT PROPED AIRCRAFT WITH NO TIE DOWN.AIRCRAFT JUMPED CHOCKS,HIT HANGAR.
19771023034939A	
19771023034949A	
19771023035939A	LESS THAN 1 HR PLT TIME IN PAST YR.
19771023038759A	
19771023038769A	WING SEPARATED.
19771023038779A	
19771023041129A	ACFT NOT RECOVERED.
19771023041139A	WINGS SHOWED EVIDENCE OF POSITIVE OVERLOAD L WING SEPARATED DOWN L R STAB RUDVATR SEP POS OVERLOAD
19771023042609A	
19771024032729A	
19771024033719A	HIGHWAY SIGN POST.AIRCRAFT REPORTED STOLEN BY OWNER.
19771024034409A	
19771024034419A	STRUCK LIGHTED TAXIWAY BARRIER. PLT ASKED FOR FULL FLAPS,SON LOWERED PARTIAL FLAPS. CLOSE IN APCH.
19771024034959A	STALLED AVOIDING PWR LINES.
19771024035539A	
19771024043579A	INTERMITTENT ENGINE IGNITION MALFUNCTION. CROSS WIND CONDITION.
19771025031509A	
19771025032739A	
19771025032749A	
19771025033139A	
19771025033729A	PICKING UP CIGARETTE LIGHTER FROM FLOOR.
19771025034429A	ENG STALLED DURING STEEP TURN.USED AUTOMOTIVE FUEL.DIRT,ETC FOUND IN GASCOLATOR & CARBURETOR.
19771025034969A	
19771025034979A	
19771025036539A	WIND GUSTS TO 15K. STUDENT BRIEFED ON USE OF BRAKES WHILE TAXIING.
19771025036549A	THROTTLE CABLE HOUSING CLAMP RETAINING RIVET FELL OUT. FLAPS USED WHEN A/S INITIALLY DROPPED.
19771025036559A	INTENTIONAL SPIN DEVELOPED INTO FLAT SPIN.PLT BAILED OUT,ALT TOO LOW FOR CHUTE TO FULLY OPEN.
19771025037379A	HIT GROUND WHILE MAKING SPEED RUN AT APPX 10 FT AGL.WIND ESTIMATED AS 20 TO 30 KNOT LEFT CROSS.
19771025039559A	CONSTRUCTION SITE,STRUCK A NEWLY ERECTED RD SIGN
19771025039569A	
19771025042619A	
19771026032759A	FEATHERED ENG IN PATTERN. SINGLE ENG GO-AROUND, UNABLE TO MAINTAIN VMC.
19771026033149A	NO FLAP ILS TO MINIMUMS,BROKE OUT APRX 1/3 DOWN RWY.RECENT FLT EXP NAW FAR61.57
19771026034439A	
19771026034449A	AT ROTATION THE FORWARD ENTRANCE DOOR POPPED OPEN.
19771026034459A	ACFT APRX 100 LB OVR G/W.
19771026034469A	OVERFLEW SUITABLE ARPTS. ATTMPTD TO RET TO DEP BASE & BECAME LOST.
19771026034989A	STARTER SYS FAILURE RESULTED IN LOSS OF ELEC SYS,NORMAL/EMERG GEAR EXTENSION & INDICATORS.
19771026035949A	PILOT BLOOD ALCOHOL .15 ON BREATH TEST.
19771026036569A	ACFT HAD ELT ANTENNA INSTALLED,HOWEVER ELT WAS NOT FOUND.HIT SUPPORTING CABLE ABT 300FT AGL.
19771026036579A	MISTOOK GRASSY AREA ON AIRPORT FOR THE SOD RUNWAY.
19771026040249A	
19771027031519A	
19771027032179A	
19771027032769A	
19771027033739A	ACFT DAMAGED IN PREVIOUS LNDG ACCD. R WHEEL MISALIGNED.
19771027033749A	NO REASON FOR ENGINE FAILURE WAS FOUND.FUEL WAS FOUND IN BOTH MAIN TANKS.
19771027033759A	STRUCK BY APU TRUCK.
19771027036589A	PILOT SAW RED LIGHT ON TOWER,LOST GROUND CONTACT,HIT TREES.
19771027037849A	CARGO SHIFT PROB FACTOR IN DEGREE OF INJURY.MADE 2 APPS TO A/P THAT HAD WX BELOW APP MINIMUMS.
19771027039579A	
19771027041149A	GLIDER OUT OF POSITION BEHIND TOW PLANE AND RELEASED. SPOILERS FOUND EXTENDED.
19771027042629A	NO APPROACH CHARTS FOR MRN.OBTAINED APCH DATA FRM ATC.CRASHED DRG 2ND APCH.
19771028032189A	PILOT'S SEAT SLID FORWARD CAUSING ADDITIONAL BREAK PRESSURE.
19771028032779A	
19771028032789A	FUEL VENT TUBE PLUGGED.
19771028033769A	
19771028034999A	FOUR FUEL NOZZLES PLUGGED SOLID,BUGS.HIT PWR LINE.
19771028035009A	AC CONTACTED RUNWAY DURING GND LOOP.
19771028035959A	PISTON SEPD FROM CONROD.
19771028035969A	
19771028036599A	PROPS,FIREWALL,FUSELAGE DMGD.
19771028036609A	STRUCK SAND DUNE SHORT OF RWY.
19771028036619A	
19771028036629A	LANDED ON RAMP AREA AT CLOSED ARPT AT NIGHT.LNDG LIGHT INTERMITTANT.
19771028040259A	
19771028042639A	VOR/LOC RCVR TUNED TO ILS FREQ INSTEAD OF VOR/ILS RCVR.
19771029033159A	FORCED LDG ON UNSUITABLE TERRAIN.LOSS OF OIL PRESSURE WHEN BLOWER FAILED.
19771029033169A	
19771029035019A	APPROX 10GAL FUEL OBSERVED DRAINING FROM L TANK.ONE PINT FOUND IN R TANK.
19771029035979A	TOOK OFF WITH FULL FLAPS.SHORTLY AFTER TAKEOFF RETRACTED FLAPS.
19771029036639A	EXPOSED LEAD SHORTED OUT MAG. LNDD IN CORN FIELD
19771029036649A	BOTH WINGS SEPARATED.
19771029036659A	
19771029036669A	
19771029040269A	
19771029040279A	
19771029041159A	13 IN OF PROPELLER BLADE SEPARATED DUE METAL FATIGUE.
19771030032799A	
19771030033179A	
19771030033779A	SINGLE WHEEL ULTRALIGHT SAILPLANE,POSSIBLE LONGITUDINAL INSTABILITY.FIRST AIR TOW.
19771030034479A	GUSTING TO 20 KNOTS.
19771030035029A	LOADED WITH MARIJUANA.PLT UNKNOWN.ACFT REPORTEDLY STOLEN.
19771030035039A	
19771030035049A	
19771030035989A	1200FT GRASS STRIP.
19771030036679A	
19771030037389A	MANZANAR APRT ABANDONED,RWY CRACKED AND ROUGH.
19771030038981A	NON-RADAR ENVIRONMENT.
19771030038982A	
19771030039589A	FSS ADZD VFR FLT NOT RECOMMENDED.
19771030040289A	LOW PASS OVER RWY.
19771030040299A	MARIJUANA ABOARD.
19771030040309A	FUEL SELECTOR VALVE FOR REAR ENGINE JAMMED.LANDING GEAR RESERVOIR NOT PROPERLY SERVICED.D.A.9000FT
19771030043319A	
19771030043419A	N4428E, SUBSTANTIAL DMG.
19771031034489A	
19771031035059A	
19771031035069A	
19771031036689A	WRONG SKIS INSTALLED.HIT BRUSH,SNOWBANK.
19771031036699A	NO FERRY PERMIT. SCREWS DEEPLY SCORED NOSE GR RETRACT ROD ASSEMBLY(P/N 21109-03),AFFECT OPERATION.
19771031037399A	FUEL FACILITY SHUT DOWN FOLLOWING DAY DUE TO FUEL CONTIMINATION.CONTAINED COTTON FIBERS & ADHESIVE
19771101032809A	WIND REPORTED BY AG OPERATOR GUSTING TO 40KTS.
19771101033789A	
19771101034499A	
19771101034509A	LEFT SEAT SLID BACK.PIC WAS UNABLE TO REACH BRAKE PEDALS.WIND GUSTS TO 20K.
